0ad a26-12
cunit 2.1.3-3
cups 1:2.4.7-2
cups-browsed 2.0.0-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curator 5.7.6-10
curl 8.6.0-3
curlftpfs 0.9.2-8
curlie 1.7.2-1
curtail 1.8.0-1
cutefish-calculator 0.4-2
cutefish-core 0.8-2
cutefish-dock 0.8-1
cutefish-filemanager 0.8-2
cutefish-icons 0.8-1
cutefish-launcher 0.8-2
cutefish-qt-plugins 0.5-3
cutefish-screenlocker 0.5-2
cutefish-settings 0.8-6
cutefish-statusbar 0.7-1
cutefish-terminal 0.7-1
cutefish-wallpapers 1.0-1
cutter 1.04-3
cuyo 1:2.1.0-5
cvc4 1.8-3
cvs 1.11.23-15
cxxbridge 1.0.101-1
cxxopts 3.2.1-1
cxxtest 4.4-10
cycfx2prog 0.47-4
cypari2 2.1.4-1
cyrus-sasl 2.1.28-3
cysignals 1.11.4-1
cython 3.0.8-1
cython0 0.29.37.1-1
